time	r	r_small_t	r_large_t
1.e-6	0.48405444710920803	0.4840545116652445	0.8865100022204757
0.020001	0.4784920656164894	0.4760960045082249	0.8865100022204757
0.040001	0.47915759839492095	0.46813749735120536	0.8865100022204757
0.060001	0.48462311087699256	0.46017899019418584	0.8865100022204757
0.080001	0.4937664963963146	0.4522204830371663	0.8865100022204757
0.100001	0.5056932100968206	0.4442619758801467	0.8865100022204757
0.120001	0.5196780609066303	0.4363034687231272	0.8865100022204757
0.14000100000000001	0.5351262022442037	0.42834496156610763	0.8865100022204757
0.160001	0.5515479327121149	0.42038645440908806	0.8865100022204757
0.180001	0.5685416726593845	0.41242794725206855	0.8865100022204757
0.200001	0.5857812043324918	0.404469440095049	0.8865100022204757
0.220001	0.6030050292912436	0.3965109329380294	0.8865100022204757
0.240001	0.6200069056886369	0.3885524257810099	0.8865100022204757
0.260001	0.6366272770790686	0.38059391862399033	0.8865100022204757
0.280001	0.652745570615129	0.37263541146697077	0.8865100022204757
0.30000099999999996	0.6682734019712098	0.36467690430995126	0.8865100022204757
0.320001	0.6831486978367475	0.3567183971529317	0.8865100022204757
0.340001	0.6973307003878702	0.3487598899959121	0.8865100022204757
0.36000099999999996	0.7107957803084847	0.3408013828388926	0.8865100022204757
0.380001	0.7235339634766409	0.3328428756818731	0.8865100022204757
0.400001	0.7355460698271391	0.3248843685248535	0.8865100022204757
0.42000099999999996	0.7468413666677459	0.31692586136783396	0.8865100022204757
0.440001	0.7574356483960428	0.30896735421081445	0.8865100022204757
0.460001	0.767349666723148	0.3010088470537948	0.8865100022204757
0.48000099999999996	0.776607847933739	0.2930503398967753	0.8865100022204757
0.500001	0.7852372451488232	0.28509183273975575	0.8865100022204757
0.520001	0.7932666834418807	0.2771333255827362	0.8865100022204757
0.5400010000000001	0.8007260638531987	0.26917481842571667	0.8865100022204757
0.5600010000000001	0.807645798951837	0.26121631126869704	0.8865100022204757
0.580001	0.814056357821638	0.25325780411167753	0.8865100022204757
0.600001	0.8199879024419017	0.24529929695465802	0.8865100022204757
0.620001	0.825470000629856	0.23734078979763845	0.8865100022204757
0.640001	0.8305314032160698	0.22938228264061888	0.8865100022204757
0.6600010000000001	0.835199875102488	0.22142377548359932	0.8865100022204757
0.6800010000000001	0.839502071438344	0.2134652683265798	0.8865100022204757
0.7000010000000001	0.8434634514401655	0.20550676116956024	0.8865100022204757
0.720001	0.8471082234529654	0.19754825401254072	0.8865100022204757
0.740001	0.8504593157524917	0.18958974685552116	0.8865100022204757
0.760001	0.8535383683611851	0.1816312396985016	0.8865100022204757
0.780001	0.8563657418197175	0.17367273254148208	0.8865100022204757
0.8000010000000001	0.8589605394396628	0.1657142253844625	0.8865100022204757
0.8200010000000001	0.8613406400752502	0.15775571822744294	0.8865100022204757
0.840001	0.8635227389016288	0.14979721107042343	0.8865100022204757
0.860001	0.8655223940823613	0.14183870391340386	0.8865100022204757
0.880001	0.8673540775546084	0.1338801967563843	0.8865100022204757
0.900001	0.8690312284624534	0.12592168959936478	0.8865100022204757
0.9200010000000001	0.8705663080312344	0.11796318244234522	0.8865100022204757
0.9400010000000001	0.8719708549021179	0.11000467528532565	0.8865100022204757
0.960001	0.8732555401410339	0.10204616812830614	0.8865100022204757
0.980001	0.8744302213019343	0.09408766097128657	0.8865100022204757
1.000001	0.8755039950652377	0.08612915381426706	0.8865100022204757
1.020001	0.8764852480906931	0.07817064665724749	0.8865100022204757
1.040001	0.8773817058227782	0.07021213950022798	0.8865100022204757
1.060001	0.8782004790685488	0.06225363234320841	0.8865100022204757
1.080001	0.8789481082351241	0.05429512518618884	0.8865100022204757
1.100001	0.8796306051682805	0.046336618029169274	0.8865100022204757
1.120001	0.8802534925776306	0.03837811087214976	0.8865100022204757
1.140001	0.880821841068204	0.030419603715130195	0.8865100022204757
1.1600009999999998	0.8813403038252161	0.022461096558110738	0.8865100022204757
1.1800009999999999	0.8818131490193569	0.01450258940109117	0.8865100022204757
1.2000009999999999	0.8822442900149188	0.006544082244071603	0.8865100022204757
1.220001	0.882637313473887	-0.0014144249129479647	0.8865100022204757
1.240001	0.8829955054561544	-0.009372932069967532	0.8865100022204757
1.260001	0.8833218756203053	-0.017331439226987044	0.8865100022204757
1.280001	0.8836191796313653	-0.025289946384006667	0.8865100022204757
1.300001	0.8838899398816604	-0.03324845354102618	0.8865100022204757
1.320001	0.8841364646298214	-0.04120696069804569	0.8865100022204757
1.340001	0.8843608656605744	-0.049165467855065315	0.8865100022204757
1.360001	0.884565074564038	-0.05712397501208483	0.8865100022204757
1.380001	0.8847508577299533	-0.06508248216910445	0.8865100022204757
1.400001	0.8849198301479397	-0.07304098932612396	0.8865100022204757
1.4200009999999998	0.8850734680997786	-0.08099949648314347	0.8865100022204757
1.4400009999999999	0.8852131208254435	-0.08895800364016299	0.8865100022204757
1.4600009999999999	0.885340021239941	-0.0969165107971825	0.8865100022204757
1.480001	0.8854552957729415	-0.10487501795420212	0.8865100022204757
1.500001	0.8855599733989099	-0.11283352511122163	0.8865100022204757
1.520001	0.8856549939206411	-0.12079203226824126	0.8865100022204757
1.540001	0.8857412155652342	-0.12875053942526077	0.8865100022204757
1.560001	0.8858194219468889	-0.13670904658228028	0.8865100022204757
1.580001	0.8858903284474842	-0.1446675537392999	0.8865100022204757
1.600001	0.8859545880615914	-0.15262606089631942	0.8865100022204757
1.620001	0.886012796749859	-0.16058456805333893	0.8865100022204757
1.640001	0.8860654983405039	-0.16854307521035855	0.8865100022204757
1.660001	0.8861131890163984	-0.17650158236737806	0.8865100022204757
